0056 00086 1|T|048.62249749|+02.21376285|       |       | 58.1| 46.7|     |     | |11.502|0.101|11.611|0.198|999|T|       
0057 00348 2|H|050.22260346|+01.16444040|  140.0|  -38.2| 17.4| 12.7|  2.4|  2.4|H|      |     |10.994|0.034| 21| | 15599B
0057 00820 1|T|051.09619299|+00.86278405|       |       | 55.0| 36.9|     |     | |11.958|0.152|11.107|0.111|999|T|       
0058 00260 1|T|045.46553164|+04.48116364|       |       | 96.9| 73.8|     |     | |12.209|0.401|11.709|0.480|999|T|       
0058 00374 1|T|045.68712635|+04.25869502|       |       | 68.4| 66.5|     |     |V|      |     |10.755|0.070|999|T|       
0058 00429 1|T|045.43431129|+04.06719018|       |       | 42.6| 45.5|     |     |V|      |     |10.645|0.072|999|T|       
0058 01621 1|T|045.43459339|+02.55411034|       |       | 46.7| 45.1|     |     | |11.165|0.099|10.663|0.100|115|T|       
0059 01252 1|H|049.77136146|+03.60857465|   18.4|   -5.5|  2.6|  1.9|  2.9|  2.5|H|      |     |11.393|0.006|999| | 15443 
0060 00084 1|T|050.25123737|+03.25120032|       |       | 36.8| 26.8|     |     | |12.045|0.185|10.275|0.059|999|T|       
0060 00524 1|H|050.91244023|+04.88238365|   -6.8|   -2.6| 14.2| 14.3|  1.0|  0.9|H|      |     | 9.894|0.056| 10|T| 15807B
0061 00696 1|H|045.67669566|+07.06657711|    2.0|    2.7| 40.6| 26.1|  3.2|  2.9|H|      |     |12.708|0.115|  8|T| 14169B
0061 01171 1|T|045.94362838|+06.34643899|       |       | 43.0| 34.2|     |     | |11.460|0.083|11.141|0.105|999|T|       
0062 01314 2|H|049.18955618|+05.02012895|   25.6| -268.1| 25.0| 22.3|  2.7|  2.6|H|      |     |11.868|0.086| 25| | 15253B
0064 01570 1|H|054.19527019|+00.58809786|  -33.0| -163.4| 10.6|  7.1|  0.9|  0.9| |10.115|0.063| 8.902|0.037| 67|T| 16846B
0066 00066 1|T|059.96960575|+01.76985357|       |       | 45.6| 31.0|     |     | |11.510|0.104|10.707|0.083|999|T|       
0066 00551 2|H|059.03478082|+00.71185153|   -8.2|  -10.8| 33.6| 30.0|  2.5|  2.4|H|      |     |12.377|0.132| 27| | 18408B
0066 00972 1|T|058.45433867|+00.04292739|       |       | 71.0| 58.0|     |     | |12.518|0.319|11.088|0.143|999|T|       
0068 00359 1|T|056.24398643|+02.61042439|       |       | 30.4| 19.8|     |     | |11.517|0.097|10.106|0.043|738|T|       
0068 00641 2|H|055.49743557|+03.39408268|   23.0|  -11.4| 44.2| 20.0|  7.8|  7.0|H|      |     |12.910|0.120| 24| | 17277B
0069 00057 2|H|059.69446263|+02.50734323|   -3.5|   10.5| 14.5| 10.2|  2.3|  2.2|H|      |     |11.495|0.050| 20| | 18601B
0071 01226 1|H|055.12295330|+05.12992020|  -58.6|   11.9| 33.7| 23.8| 28.9| 23.2| |10.256|0.033| 9.633|0.031|263|T| 17158B
0072 00332 1|T|059.64423296|+07.28403061|       |       | 56.8| 43.0|     |     | |12.245|0.198|11.214|0.125|999|T|       
0072 00506 1|H|059.59971232|+07.10665070|    6.8|   -4.7|  2.5|  1.4|  3.3|  2.6|H|      |     |11.297|0.005|999| | 18562 
0073 00667 1|H|060.10936539|+02.43212422|   22.1|    5.2|  2.8|  1.8|  2.9|  2.7|H|      |     |11.542|0.007|999| | 18706 
0074 00829 1|T|063.39089721|+01.92087661|       |       | 44.0| 42.9|     |     | |11.593|0.151|10.660|0.101|407|T|       
0074 01145 1|H|064.71439183|+01.39345631|   -1.9|  -59.2|  4.7|  3.3|  5.4|  4.1|H|      |     |12.372|0.011|999| | 20122 
0074 01540 1|H|062.81971357|+02.31566118|  -31.1|  -19.3| 17.7| 11.3|  2.4|  2.0|H|      |     |11.628|0.044|  9|T| 19552B
0074 02360 1|H|063.03605649|+00.73715485|  -10.2|   15.3| 24.1| 12.5|  1.1|  1.1| |10.849|0.065|10.047|0.046|110|T| 19611B
0075 01164 1|T|066.47954750|+01.20417177|       |       | 28.0| 26.8|     |     | |10.630|0.068| 9.926|0.060|999|T|       
0076 00049 1|T|060.87556004|+03.16026672|       |       | 49.6| 34.5|     |     | |11.969|0.147|10.834|0.082|999|T|       
0076 00287 1|T|061.00266568|+02.96694250|       |       | 41.2| 33.8|     |     | |12.263|0.184|10.803|0.074|999|T|       
0077 00135 1|H|064.06049102|+02.80528180|  -35.3|  -12.3|  4.0|  2.8|  6.2|  4.0|H|      |     |11.840|0.018|999| | 19908 
0078 00312 1|T|066.03849391|+02.67696373|       |       | 92.0| 52.6|     |     | |11.817|0.180|11.216|0.170|999|T|       
0078 01511 2|H|067.39721579|+03.83991605|   47.7|  -40.6| 26.9| 21.2|  4.1|  4.0|H|      |     |12.402|0.135| 60| | 20956B
0078 01858 1|T|066.84761866|+03.57226084|       |       | 62.4| 79.6|     |     | |12.964|0.580|11.425|0.240|999|T|       
0080 00370 1|T|062.85424602|+05.54845067|       |       | 64.7| 54.8|     |     | |11.566|0.140|10.940|0.142|999|T|       
0080 00440 1|H|064.84140412|+07.16150291|    4.5|   71.7| 23.1| 19.4| 32.4| 25.8|H|      |     |10.880|0.011|999| | 20169 
0080 01261 1|H|064.20336992|+05.61867021|   66.2|  -75.7|  4.0|  3.4|  6.0|  5.7|H|      |     |12.341|0.021|999| | 19961 
0081 01192 1|H|065.29092122|+06.10361752|  669.3|  -30.2|  3.3|  2.7|  4.1|  3.2|H|      |     |11.950|0.010|999| | 20319 
0082 00053 1|T|069.17505524|+01.55001793|       |       | 67.9| 48.4|     |     | |12.241|0.293|11.372|0.197|999|T|       
0082 00321 2|H|069.33511168|+00.29054257|    3.5|  -12.6| 29.8| 22.2|  2.1|  1.8|H|      |     |12.034|0.107| 26| | 21528B
0083 01096 1|T|069.48414587|+00.74280910|       |       | 79.9| 61.3|     |     | |12.242|0.391|11.008|0.226|999|T|       
0083 01306 1|T|071.16686816|+00.59972620|       |       | 41.8| 33.6|     |     | |11.486|0.091|11.058|0.101|999|T|       
0083 01919 1|H|070.23335376|+00.96411753|   -0.3|   -0.7|  5.2|  3.7|  1.5|  1.1| | 9.481|0.034| 9.277|0.039| 57|T| 21795B
0084 00232 1|T|071.67486784|+00.45297406|       |       | 60.2| 65.0|     |     | |12.394|0.263|10.818|0.100|999|T|       
0084 00316 1|T|071.94845391|+00.73879416|       |       | 70.1| 47.9|     |     | |12.323|0.239|10.883|0.100|999|T|       
0085 00113 1|T|073.77355673|+00.44319342|       |       | 57.4| 34.2|     |     | |12.012|0.170|10.917|0.108|999|T|       
0085 00541 1|T|073.33174098|+01.14538798|       |       | 47.9| 35.9|     |     | |11.740|0.139|10.999|0.113|999|T|       
0085 00599 1|T|074.61606240|+01.51074909|       |       | 44.5| 36.2|     |     | |11.439|0.131|10.978|0.150|999|T|       
0086 00045 1|H|067.79766871|+01.95782806|  170.1|   27.2| 18.2|  8.3| 10.9| 10.3|H|      |     |12.834|0.217|  5| | 21092A
0086 00045 2|H|067.79753753|+01.95781173|  170.1|   27.2|151.0| 75.1| 10.9| 10.3|H|      |     |14.039|0.656|  5| | 21092B
0086 00498 1|T|068.96621053|+02.79542134|       |       | 60.0| 52.3|     |     | |11.684|0.136|11.334|0.181|999|T|       
0086 00513 1|T|069.10443832|+02.61648029|       |       | 75.7| 58.6|     |     | |12.045|0.242|11.070|0.143|999|T|       
0086 00947 1|T|068.11184579|+03.35626488|       |       | 65.1| 66.0|     |     | |13.172|0.592|11.112|0.143|999|T|       
0087 00525 1|T|071.02080385|+02.46639262|       |       | 69.6| 52.5|     |     | |11.842|0.179|11.278|0.164|999|T|       
0087 00577 1|T|070.64693885|+02.91248442|       |       | 63.4| 44.3|     |     | |12.388|0.381|11.095|0.140|420|T|       
0088 01143 1|T|072.28362171|+03.65961999|       |       | 60.2| 62.0|     |     | |12.164|0.192|11.383|0.157|999|T|       
0088 01998 1|H|072.73869950|+03.14233669|    5.3|   -6.4|  8.4|  4.3|  4.5|  4.1|H|      |     |11.632|0.053|999| | 22535 
0089 00287 1|T|073.70321142|+02.50864036|       |       | 34.2| 32.7|     |     | |11.436|0.181|10.385|0.110|999|T|       
0089 00318 1|T|073.36559810|+02.39231846|       |       | 64.4| 46.0|     |     | |12.185|0.305|11.622|0.318|999|T|       
0089 00337 1|T|073.46636372|+02.46826743|       |       | 66.3| 68.6|     |     | |11.085|0.126|11.077|0.209|999|T|       
0089 00546 1|T|074.15451756|+03.35533038|       |       | 55.4| 29.8|     |     | |11.580|0.134|10.919|0.109|999|T|       
0090 00406 2|H|068.12599263|+04.13975449|   51.6| -162.1| 39.0| 23.3|  7.1|  7.0|H|      |     |13.208|0.087| 27| | 21186S
0092 00648 1|T|072.62719719|+05.47141229|       |       | 50.2| 53.1|     |     | |11.832|0.219|11.340|0.247|999|T|       
0095 00616 1|T|070.78493416|+06.09438902|       |       | 82.1| 64.2|     |     | |11.790|0.172|11.440|0.211|999|T|       
0096 00092 1|T|072.55191573|+05.70512464|       |       | 24.1| 21.0|     |     | |11.258|0.123| 9.791|0.050|999|T|       
0096 00244 2|H|073.07639671|+05.67657551|    6.8|  -30.0| 17.1|  9.0|  2.1|  1.2|H|      |     |11.356|0.045| 23| | 22642B
0096 00548 1|T|072.57428960|+06.97626891|       |       | 39.0| 25.7|     |     |V|      |     |10.136|0.094|952|T|       
0098 00326 1|T|075.53616494|+01.60233698|       |       | 62.6| 37.2|     |     | |12.524|0.285|10.390|0.065|999|T|       
0098 01260 1|T|075.86152183|+00.41126153|       |       | 52.4| 38.1|     |     | |11.681|0.141|10.848|0.105|999|T|       
0099 00508 1|T|078.19271549|+00.51258464|       |       | 50.7| 44.1|     |     | |12.231|0.282|10.753|0.119|999|T|       
0099 00664 2|H|078.02319182|+00.60439472|   20.3|    0.8| 85.5| 38.8|  3.1|  3.0|H|      |     |11.561|0.228| 13| | 24227B
0099 00717 1|T|078.08415830|+00.72795073|       |       | 61.9| 64.6|     |     | |11.849|0.192|10.759|0.112|999|T|       
0099 00938 1|T|078.03478124|+00.07955391|       |       | 59.2| 45.1|     |     | |11.933|0.169|10.974|0.116|999|T|       
0099 01327 1|T|076.99595190|+00.52935331|       |       | 90.2| 49.3|     |     | |11.913|0.170|11.587|0.225|999|T|       
0100 01116 1|T|080.58877824|+01.15078431|       |       | 67.4| 35.8|     |     | |11.342|0.097|10.977|0.104|999|T|       
0101 00006 1|T|081.13262081|+01.86286205|       |       | 16.2| 12.8|     |     | |11.140|0.203| 9.546|0.070|999|T|       
0101 00293 1|T|082.14766925|+01.66869424|       |       | 36.5| 32.0|     |     | |11.478|0.096|11.034|0.110|835|T|       
0101 00310 1|T|082.16490376|+01.65315182|       |       | 21.7| 18.4|     |     | |10.805|0.055|10.627|0.077|727|T|       
0101 00321 1|T|081.25075235|+01.64161816|       |       | 41.8| 24.5|     |     | |11.690|0.177|10.953|0.124|941|T|       
0101 00343 1|T|082.15730759|+01.63444946|       |       | 48.3| 33.8|     |     | |11.515|0.119|11.061|0.113|727|T|       
0101 00731 1|T|082.07809296|+01.34891690|       |       | 32.4| 26.0|     |     | |11.290|0.078|10.855|0.083|936|T|       
0101 00999 1|T|082.37771518|+01.49471380|       |       | 34.3| 30.6|     |     | |11.300|0.094|10.917|0.107|669|T|       
0101 02546 1|T|080.80223905|+01.14419814|       |       | 19.5| 14.0|     |     | |10.231|0.030|10.099|0.042|394|T|       
0102 00028 1|T|075.27405994|+03.70731644|       |       | 42.6| 44.4|     |     | |11.484|0.117|11.010|0.124|363|T|       
0102 00605 2|H|076.84171040|+02.44891945|   -0.4|   -7.6| 64.6| 30.3|  3.4|  2.1|H|      |     |11.337|0.128| 16| | 23826B
0102 01003 1|T|076.86548102|+02.47012358|       |       | 71.2| 46.8|     |     | |12.286|0.337|11.299|0.218|999|T|       
0102 01404 1|T|075.65001276|+02.89124741|       |       | 55.9| 47.9|     |     | |12.033|0.202|11.002|0.125|999|T|       
0103 00541 1|T|077.07021324|+03.06625552|       |       | 65.3| 36.5|     |     | |11.574|0.131|11.020|0.138|999|T|       
0103 00710 1|T|076.91012658|+02.46554083|       |       |109.1| 61.0|     |     | |11.775|0.180|11.155|0.179|549|T|       
0103 02874 1|H|078.32454958|+02.86211184|    3.0|    4.9| 25.5| 18.2|  1.0|  0.8|H|      |     | 8.498|0.094| 69|T| 24331B
0104 00040 1|T|079.77976819|+02.39460210|       |       | 58.1| 47.8|     |     | |11.640|0.151|11.016|0.144|999|T|       
0104 00227 1|T|079.82188596|+02.53727460|       |       | 59.0| 53.9|     |     | |12.179|0.367|11.029|0.213|999|T|       
0104 00313 1|T|080.16152582|+02.63471395|       |       | 61.7| 35.7|     |     | |12.060|0.177|10.953|0.102|999|T|       
0104 00377 1|T|079.92470902|+02.28546777|       |       | 53.3| 31.9|     |     | |11.550|0.113|10.542|0.071|345|T|       
